latitude,longitude,radius_searched,number_of_stops,number_of_bus_stops,number_of_metro_stops,google_maps_link,stop_name
40.699577,-73.8322,400.0,6,4,2,"https://www.google.com/maps/search/?api=1&query=40.699577,-73.8322",JAMAICA AV/117 ST
40.700092,-73.830212,400.0,6,4,2,"https://www.google.com/maps/search/?api=1&query=40.700092,-73.830212",JAMAICA AV/LEFFERTS BL
40.7008,-73.826073,400.0,4,2,2,"https://www.google.com/maps/search/?api=1&query=40.7008,-73.826073",JAMAICA AV/124 ST
40.701225,-73.824312,400.0,4,2,2,"https://www.google.com/maps/search/?api=1&query=40.701225,-73.824312",JAMAICA AV/126 ST
40.701782,-73.82206,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.701782,-73.82206",JAMAICA AV/130 ST
40.702008,-73.820712,400.0,4,3,1,"https://www.google.com/maps/search/?api=1&query=40.702008,-73.820712",JAMAICA AV/132 ST
40.702366,-73.81695,400.0,7,6,1,"https://www.google.com/maps/search/?api=1&query=40.702366,-73.81695",JAMAICA AV/VAN WYCK EP
40.702373,-73.812541,400.0,14,11,3,"https://www.google.com/maps/search/?api=1&query=40.702373,-73.812541",JAMAICA AV/139 ST
40.702126,-73.820801,400.0,4,3,1,"https://www.google.com/maps/search/?api=1&query=40.702126,-73.820801",JAMAICA AV/132 ST
40.701695,-73.823027,400.0,2,2,0,"https://www.google.com/maps/search/?api=1&query=40.701695,-73.823027",JAMAICA AV/130 ST
40.701376,-73.82429,400.0,4,2,2,"https://www.google.com/maps/search/?api=1&query=40.701376,-73.82429",JAMAICA AV/127 ST
40.700831,-73.826733,400.0,5,3,2,"https://www.google.com/maps/search/?api=1&query=40.700831,-73.826733",JAMAICA AV/124 ST
40.700496,-73.828743,400.0,6,4,2,"https://www.google.com/maps/search/?api=1&query=40.700496,-73.828743",JAMAICA AV/122 ST
40.700093,-73.830843,400.0,6,4,2,"https://www.google.com/maps/search/?api=1&query=40.700093,-73.830843",JAMAICA AV/LEFFERTS BL
40.699757,-73.832088,400.0,6,4,2,"https://www.google.com/maps/search/?api=1&query=40.699757,-73.832088",JAMAICA AV/118 ST
40.699024,-73.833612,400.0,7,5,2,"https://www.google.com/maps/search/?api=1&query=40.699024,-73.833612",JAMAICA AV/116 ST
40.698143,-73.835197,400.0,5,3,2,"https://www.google.com/maps/search/?api=1&query=40.698143,-73.835197",JAMAICA AV/114 ST
40.697242,-73.836728,400.0,5,3,2,"https://www.google.com/maps/search/?api=1&query=40.697242,-73.836728",JAMAICA AV/112 ST
